DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24660334",50800,10,65,630
"24660335",50800,15,69,742
"24662727",56400,10,67,751
"24662731",60800,0,63,303
"24660328",58800,10,63,648
"24660327",56400,0,59,591
"24662733",62800,5,61,821
"24660326",66000,5,61,411
"24660325",65500,5,62,510
"24662732",77500,0,65,325
"24662725",52000,10,69,620
"24661352",65500,30,62,673
"24661362",72500,5,65,801
"24661530",39200,5,77,511
"24661529",40400,15,67,398
"24661528",34400,10,75,492
"24661519",64000,5,86,656
"24661521",71000,20,74,2664
"24661518",58400,5,81,601
"24661509",55200,0,80,580
"24661508",65500,5,70,432
"24661510",67000,5,80,463
"24661507",69000,0,78,535
"24661506",46400,15,72,677
"24661504",46000,10,82,582
"24661503",26400,70,63,460
"24660439",56400,0,87,346
"24660438",44000,10,83,406
"24661502",56000,5,77,473
"24661505",49600,0,80,420
"24660437",51200,5,69,323
"24661501",59600,10,81,520
"24660436",39200,50,65,468
"24660435",69000,10,71,623
"24660434",48800,45,65,626
"24660433",48000,15,79,614
"24660443",58800,0,78,494
"24660442",66500,0,71,552
"24660441",58800,5,75,278
"24660440",60800,0,85,288
"24660448",63600,5,86,416
"24660449",57600,5,78,347
"24660450",62000,5,78,514
"24660451",57200,0,77,595
"24660431",55600,5,74,466
"24660452",57200,5,76,476
"24660453",68000,5,78,645
"24661367",46800,20,70,962
"24661364",70500,0,61,787
"24661368",57200,5,63,737
"24661369",59200,10,64,575
"24661370",60000,0,75,614
"24661371",53600,0,78,527
"24661625",60400,10,82,574
"24661626",52400,5,82,684
"24661627",65000,5,79,878
"24661459",54400,5,77,331
"24661460",57600,5,80,297
"24661516",58800,5,82,506
"24661461",59200,5,83,568
"24661515",52800,5,79,428
"24661462",36000,50,65,444
"24663451",54400,10,79,424
"24661514",57600,5,79,461
"24661463",71000,0,82,764
"24663450",40000,10,87,457
"24661465",53200,5,79,340
"24661513",54400,0,82,507
"24661466",50400,0,84,493
"24661467",57600,0,63,669
"24661645",56800,5,78,606
"24661644",50400,5,79,434
"24661643",65500,0,74,425
"24661642",52000,10,74,452
"24661468",64500,0,78,596
"24661469",63200,5,79,444
"24661470",62800,5,77,340
"24661500",54000,15,76,500
"24661471",54400,0,77,416
"24661472",62800,5,77,352
"24661499",50800,5,77,557
"24661473",60000,10,72,336
"24661474",52400,0,73,354
"24660432",48400,5,74,570
"24661476",44800,5,73,313
"24661477",46800,15,77,739
"24661475",40000,0,76,327
"24661498",48800,5,74,326
"24661497",50000,5,70,333
"24660428",51600,10,70,701
"24661496",56000,10,76,350
"24660427",49600,5,73,445
"24661495",45600,10,70,397
"24660426",54800,5,74,484
"24661494",49600,20,72,683
"24660425",47600,5,75,489
"24661493",49200,10,73,708
"24660424",50400,5,68,475
"24660423",57200,10,72,423
"24660323",54000,10,64,616
"24660385",58000,5,62,663
"24661361",81000,5,58,663
"24661393",86000,0,53,387
"24661365",79000,0,54,638
"24661381",75500,5,56,643
"24661429",70000,5,71,492
"24661389",70000,0,64,383
"24661380",80000,5,72,418
"24661390",68500,5,63,445
"24661379",72000,5,73,494
"24661391",69000,0,61,484
"24661366",93000,0,48,775
"24661433",,,39,324
